circuit,model,p,regime,method,ideal,mu,sd,ci_lo,ci_hi,err,err_noisy,impr
ghz,combined,0.003667,low,linear,1.0,0.8843315972222228,0.021346049157207416,0.8736523437500004,0.8941840277777781,0.11566840277777724,0.12591145833333328,0.08135125818683606
ghz,combined,0.005,low,richardson,1.0,0.8933593749999996,0.04389855730355318,0.8697884114583327,0.9147167968749998,0.10664062500000038,0.12617187500000004,0.15479876160990444
ghz,combined,0.005,low,linear,1.0,0.8910590277777783,0.023857713806096942,0.879427083333334,0.903213975694445,0.10894097222222165,0.12617187500000004,0.1365669074647451
ghz,combined,0.006333,low,richardson,1.0,0.853776041666666,0.06751474729590978,0.819654947916666,0.8878938802083325,0.14622395833333401,0.1313802083333333,-0.1129831516352879
ghz,combined,0.006333,low,linear,1.0,0.8825954861111114,0.028633664818656115,0.8683159722222226,0.8971365017361116,0.11740451388888862,0.1313802083333333,0.1063759497852678
ghz,combined,0.007667,low,richardson,1.0,0.9216145833333329,0.04486163684601205,0.8983072916666665,0.9442708333333328,0.0783854166666671,0.13515624999999998,0.4200385356454688
ghz,combined,0.007667,low,linear,1.0,0.8836805555555559,0.022609889641838604,0.8727419704861114,0.894357638888889,0.11631944444444409,0.13515624999999998,0.13937058445729217
ghz,combined,0.009,low,richardson,1.0,0.9126302083333326,0.06542032608196144,0.8811132812499992,0.9476562499999993,0.08736979166666736,0.13554687499999996,0.35542747358308785
ghz,combined,0.009,low,linear,1.0,0.8746527777777781,0.024660494317561753,0.862715928819445,0.8884147135416671,0.12534722222222194,0.13554687499999996,0.0752481588216476
ghz,combined,0.012,mid,richardson,1.0,0.8557291666666662,0.11506733715087485,0.7964485677083327,0.910940755208333,0.1442708333333338,0.14361979166666672,-0.0045330915684525155
ghz,combined,0.012,mid,linear,1.0,0.8968315972222225,0.03435532063300652,0.8792513020833336,0.9138020833333337,0.1031684027777775,0.14361979166666672,0.28165608945300913
ghz,combined,0.018,mid,richardson,1.0,0.8970052083333329,0.11270838146949086,0.8412727864583327,0.9531315104166664,0.10299479166666714,0.14882812499999998,0.3079615048118952
ghz,combined,0.018,mid,linear,1.0,0.8931423611111114,0.025925158938410967,0.879513888888889,0.9063400607638892,0.10685763888888855,0.14882812499999998,0.2820064158646857
ghz,combined,0.024,mid,richardson,1.0,0.8671874999999993,0.11964013287032606,0.8087239583333325,0.9276302083333328,0.13281250000000067,0.16953125000000002,0.21658986175114825
ghz,combined,0.024,mid,linear,1.0,0.8768663194444449,0.03521958244371516,0.8594607204861117,0.8938411458333337,0.12313368055555507,0.16953125000000002,0.27368151561700244
ghz,combined,0.03,mid,richardson,1.0,0.9256510416666663,0.1705298729086892,0.8404915364583327,1.0115983072916668,0.07434895833333366,0.18776041666666665,0.6040221914008305
ghz,combined,0.03,mid,linear,1.0,0.875824652777778,0.03839671817774264,0.8552940538194447,0.8959635416666671,0.12417534722222201,0.18776041666666665,0.3386500231160436
ghz,combined,0.036,mid,richardson,1.0,0.877473958333333,0.17434375575695604,0.7885319010416658,0.9660253906250001,0.12252604166666703,0.18541666666666667,0.33918539325842506
ghz,combined,0.036,mid,linear,1.0,0.8731336805555557,0.037406194965898004,0.855555555555556,0.8932313368055558,0.12686631944444426,0.18541666666666667,0.3157771535580534
ghz,combined,0.042,mid,richardson,1.0,0.8285156249999994,0.22851862978793808,0.7115852864583323,0.9402343749999997,0.17148437500000058,0.20677083333333335,0.1706549118387882
ghz,combined,0.042,mid,linear,1.0,0.8676649305555555,0.040883804005114585,0.8469140625000003,0.888976779513889,0.1323350694444445,0.20677083333333335,0.3599916036943742
ghz,combined,0.048,mid,richardson,1.0,0.9225260416666665,0.25468896450669676,0.7908789062499995,1.0427376302083333,0.07747395833333348,0.22929687499999996,0.6621237932992611
ghz,combined,0.048,mid,linear,1.0,0.8715277777777781,0.04565014950349408,0.8500857204861115,0.8954448784722228,0.12847222222222188,0.22929687499999996,0.4397122846867324
ghz,combined,0.06,high,richardson,1.0,0.9399739583333331,0.29175657793852705,0.7891601562499995,1.086871744791667,0.06002604166666692,0.26106770833333337,0.7700748129675801
